phrase	raw_frequency	dp1	dp2	logDice	label	compound-nn	compound-adj
erbracht Leistung	3316	0,013601925	0,57666782	8,767681786	collocation	0	0
abelsch Gruppe	533	0,00193746	0,576056137	5,98503745	term	0	0
zündend Idee	1266	0,007066626	0,575852418	7,838631265	collocation	0	0
fraktionslos Abgeordneter	445	0,011898938	0,575489418	8,577661154	term	0	1
vorgefasst Meinung	433	0,004123265	0,574496318	7,06826618	collocation	0	0
monoklin Kristallsystem	546	0,251494926	0,574124147	12,48450232	term	1	0
erster mal	11403	0,1259356	0,573387253	11,72490199	error	0	
klirrend Kälte	780	0,094313824	0,573069542	11,37386043	collocation	0	0
oberbergisch Kreis	680	0,007038851	0,572863348	7,832478545	ne	0	0
freiheitlich-demokratisch Grundordnung	689	0,193156878	0,572720049	12,20858662	term	1	1
nächstmöglich Zeitpunkt	1319	0,020611719	0,571912477	9,348899334	collocation	1	1
monotheistisch Religion	1122	0,026803159	0,571656254	9,712686796	term	0	1
hackesch Markt	580	0,005371972	0,571440826	7,446774573	ne	0	0
sterblich Überrest	3427	0,346603447	0,569141378	12,78526563	term	0	0
vorgeheizt Backofen	1793	0,524262031	0,56901735	13,12626255	collocation	1	0
haag Konvention	2217	0,198861098	0,568124301	12,23691719	ne	0	0
aufgeworfen Frage	1388	0,004022824	0,565694597	7,034169982	collocation	0	0
volkseigen Betrieb	1263	0,011740138	0,565061025	8,558554057	term	0	1
bewölkt Himmel	638	0,016474751	0,564906281	9,035156714	collocation	0	0
bauaufsichtlich Zulassung	501	0,041416668	0,564765705	10,30433063	term	0	1
schwerbehindert Mensch	2195	0,003355214	0,56443031	6,775796105	collocation	0	1
